id;personnage;acteur;episode;group;date_naissance_acteur;nom_personnage;prenom_personnage;nom_acteur;prenom_acteur;date_naissance_personnage
481;Meg;Janelle Paradee;['602'];Anodin;11/04/1963;Meg;Propriétaire de la;Paradee;Janelle;
482;Juge qui pourrait annuler le mariage;Conchata Ferrel;['605'];Anodin;28/03/1943;mariage;Juge qui pourrait annuler le;Ferrel;Conchata;
483;Médecin de l’hôpital;Michael Winters;['508'];Anodin;21/02/1945;l’hôpital;Médecin de;Winters;Michael;
484;Karin;Tembi Locke;['602'];Anodin;26/07/1970;Karin;Médecin de;Locke;Tembi;
485;Arik;Stephen Samuels;['216'];Anodin;12/05/2022;Arik;Médecin de;Samuels;Stephen;
486;Gynécologue d’Erica;John Rubinstein;['1017'];Anodin;08/12/1946;d’Erica;Gynécologue;Rubinstein;John;
487;Domestique de la famille Bing;Alec Mapa;['508'];Anodin;10/07/1965;Bing;Domestique de la famille;Mapa;Alec;
488;Un passant dans la rue;Shane Nickerson;['605'];Anodin;;rue;Un passant dans la;Nickerson;Shane;
489;Tatoueuse;Josie DiVincenzo;['216'];Anodin;;Tatoueuse;Un passant dans la;DiVincenzo;Josie;
490;Serveuse au Central Perk;Christy L. Medrano;['306'];Anodin;;Perk;Serveuse au Central;Medrano;Christy L.;
491;Tia;Elisabeth Sjoli;['119'];Anodin;;Tia;Serveuse au Central;Sjoli;Elisabeth;
492;Joel;Peter Spears;['224'];Anodin;29/11/1965;Joel;Serveuse au Central;Spears;Peter;
493;Agent immobilier de Chandler et Monica;Helen Eigenberg;['1014'];Anodin;;Monica;Agent immobilier de Chandler et;Eigenberg;Helen;
494;Infirmière à l’hôpital;Carole Gutierrez;['1017'];Anodin;;l’hôpital;Infirmière à;Gutierrez;Carole;
495;Luisa Gianetti;Megan Cavanagh;['119'];Anodin;08/11/1960;Gianetti;Luisa;Cavanagh;Megan;
496;L’homme dans la voiture de sport;Wayne Sherwood;['714'];Anodin;;sport;L’homme dans la voiture de;Sherwood;Wayne;
497;Vendeur de déguisements;Sean Corvelle;['710'];Anodin;;déguisements;Vendeur de;Corvelle;Sean;
498;Un passant futé dans la rue;non crédité;['605'];Anodin;;rue;Un passant futé dans la;crédité;non;
499;Infirmière à l’accueil de l’hôpital;Brenda Isaacs-Booth;['503'];Anodin;;l’hôpital;Infirmière à l’accueil de;Isaacs-Booth;Brenda;
500;Andrea;Carolyn Lowery;['108'];Anodin;16/10/1992;Andrea;Infirmière à l’accueil de;Lowery;Carolyn;
501;Vétérinaire qui soigne le canard;Robert Koch;['422'];Anodin;11/12/1843;canard;Vétérinaire qui soigne le;Koch;Robert;
502;Amy;Susan Yeagley;['613'];Anodin;27/02/1972;Amy;Vétérinaire qui soigne le;Yeagley;Susan;
503;Un passant curieux dans la rue;Dennis Singletary;['605'];Anodin;;rue;Un passant curieux dans la;Singletary;Dennis;
504;Maître d’hôtel du restaurant Michelle’s;Terry Rhoads;['710'];Anodin;31/12/1951;Michelle’s;Maître d’hôtel du restaurant;Rhoads;Terry;
505;Vendeuse dans un magasin de canapés;Aloma Wright;['516'];Anodin;10/03/1950;canapés;Vendeuse dans un magasin de;Wright;Aloma;
506;Une passante dans la rue;Antoinette Spolar;['521'];Anodin;;rue;Une passante dans la;Spolar;Antoinette;
507;Femme en lune de miel;Laurie Naughton;['803'];Anodin;;miel;Femme en lune de;Naughton;Laurie;
508;Tom Gordon;Ernie Grunwald;['917'];Anodin;;Gordon;Tom;Grunwald;Ernie;
509;Client du Central Perk;Lex Arquette;['613'];Anodin;28/07/1969;Perk;Client du Central;Arquette;Lex;
510;Jen;Samantha Smith;['517'];Anodin;29/06/1972;Jen;Client du Central;Smith;Samantha;
511;Professeur de cuisine pour débutants;Molly Hagan;['821'];Anodin;03/08/1961;débutants;Professeur de cuisine pour;Hagan;Molly;
512;Mme Burkart;Gretchen Wyler;['406'];Anodin;16/02/1932;Burkart;Mme;Wyler;Gretchen;
513;Acheteur de sapins de Noël;Gene Craine;['310'];Anodin;25/05/1925;Noël;Acheteur de sapins de;Craine;Gene;
514;Grand-mère assise sur un banc;Janice Davies;['204'];Anodin;;banc;Grand-mère assise sur un;Davies;Janice;
515;Kara;Lise Simms;['512'];Anodin;17/03/1963;Kara;Grand-mère assise sur un;Simms;Lise;
516;Une acheteuse potentielle;Victoria L.Kelleher;['521'];Anodin;;potentielle;Une acheteuse;L.Kelleher;Victoria;
517;Sebastian;Scott Paetty;['619'];Anodin;24/02/1959;Sebastian;Une acheteuse;Paetty;Scott;
518;L’horrible femme;Camille Saviola;['105'];Anodin;16/07/1950;femme;L’horrible;Saviola;Camille;
519;Buddy Boyle;Danny Dayton;['203'];Anodin;20/11/1923;Boyle;Buddy;Dayton;Danny;
520;Collègue du serveur gay au restaurant;Terence Winter;['816'];Anodin;02/10/1960;restaurant;Collègue du serveur gay au;Winter;Terence;
521;Livreur de lit;Rosey Brown;['307'];Anodin;20/10/1932;lit;Livreur de;Brown;Rosey;
522;Ginger;Robyn Pedretti;['510'];Anodin;;Ginger;Livreur de;Pedretti;Robyn;
523;Petite fille, voisine de Ross;Devyn La Bella;['517'];Anodin;;Ross;Petite fille, voisine de;Bella;Devyn La;
524;Agent de voyage;Manao DeMuth;['1018'];Anodin;;voyage;Agent de;DeMuth;Manao;
525;Le Pasteur;Candice Gingrich;['211'];Anodin;02/06/1966;Pasteur;Le;Gingrich;Candice;
526;Elève du cours de comédie de Joey;Shashi Bhatia;['307'];Anodin;;Joey;Elève du cours de comédie de;Bhatia;Shashi;
527;Professeur de littérature pour adultes;Scott Mosenson;['509'];Anodin;;adultes;Professeur de littérature pour;Mosenson;Scott;
528;Rita;Mary Margaret Lewis;['1014'];Anodin;;Rita;Professeur de littérature pour;Lewis;Mary Margaret;
529;Cal;Khalil Kain;['307'];Anodin;22/11/1964;Cal;Professeur de littérature pour;Kain;Khalil;
530;Fille d’un client de Phoebe;Suzanna Lanza;['702'];Anodin;12/03/1965;Phoebe;Fille d’un client de;Lanza;Suzanna;
531;Client du restaurant Michelle’s;Barry Wiggins;['710'];Anodin;;Michelle’s;Client du restaurant;Wiggins;Barry;
532;Docteur Oberman;Joan Pringle;['102'];Anodin;02/06/1945;Oberman;Docteur;Pringle;Joan;
533;Planificatrice du mariage;Mindy Sterling;['224'];Anodin;11/07/1953;mariage;Planificatrice du;Sterling;Mindy;
534;Brenda;Arden Myrin;['807'];Anodin;10/12/1973;Brenda;Planificatrice du;Myrin;Arden;
535;Elève de Ross;Matthew Yang King;['812'];Anodin;;Ross;Elève de;King;Matthew Yang;
536;Vieil homme, voisin de Ross;Ralph Manza;['517'];Anodin;01/12/1921;Ross;Vieil homme, voisin de;Manza;Ralph;
537;Cliente du Central Perk;Jo Jean Pagano;['112'];Anodin;;Perk;Cliente du Central;Pagano;Jo Jean;
538;Serveuse dans le cabaret d’Helena;Alexis Arquette;['722'];Anodin;28/07/1969;d’Helena;Serveuse dans le cabaret;Arquette;Alexis;
539;Un passant pauvre qui prend le bus;Lee Arenberg;['510'];Anodin;18/07/1962;bus;Un passant pauvre qui prend le;Arenberg;Lee;
540;L’étudiante du rayon paléontologie;Jessica A. O’Sullivan;['707'];Anodin;;paléontologie;L’étudiante du rayon;O’Sullivan;Jessica A.;
541;Client du Central Perk;J. D. Lewis;['612'];Anodin;29/04/1957;Perk;Client du Central;Lewis;J. D.;
542;Livreur de pizza;Sean Whalen;['104'];Anodin;19/05/1964;pizza;Livreur de;Whalen;Sean;
543;Baby-sitter potentielle d’Emma;Susan slome;['906'];Anodin;;d’Emma;Baby-sitter potentielle;slome;Susan;
544;Maître d’hôtel dans un restaurant;Kevin Farrell;['905'];Anodin;02/09/1947;restaurant;Maître d’hôtel dans un;Farrell;Kevin;
545;Maître d’hôtel;Tom Dugan;['1014'];Anodin;;d’hôtel;Maître;Dugan;Tom;
546;Sarah Tuttle;Mae Whitman;['310'];Anodin;09/06/1988;Tuttle;Sarah;Whitman;Mae;
547;Prostituée engagée par Monica;Jackie Debatin;['808'];Anodin;;Monica;Prostituée engagée par;Debatin;Jackie;
548;Étudiante qui suit les cours de littérature;Alexia Roberts;['509'];Anodin;28/07/1969;littérature;Étudiante qui suit les cours de;Roberts;Alexia;
549;Assistant de casting;Alex Craig Mann;['1013'];Anodin;;casting;Assistant de;Mann;Alex Craig;
550;Médecin à l’hôpital;Mark Daniel Cade;['823'];Anodin;;l’hôpital;Médecin à;Cade;Mark Daniel;
551;Responsable des changements de noms;Graig Robinson;['1014'];Anodin;25/10/1971;noms;Responsable des changements de;Robinson;Graig;
552;Agent d’embarquement à l’aéroport;Anthony Cistaro;['1018'];Anodin;08/06/1963;l’aéroport;Agent d’embarquement à;Cistaro;Anthony;
553;Serveuse dans un restaurant;Caryn Ward;['812'];Anodin;;restaurant;Serveuse dans un;Ward;Caryn;
554;Serveur du restaurant où Rachel et Michael dînent;Marcus D. Jacques;['207'];Anodin;;dînent;Serveur du restaurant où Rachel et Michael;Jacques;Marcus D.;
555;Assistant bibliothèquaire;Doug Budin;['707'];Anodin;;bibliothèquaire;Assistant;Budin;Doug;
556;Tony;Mathew Kaminsky;['402'];Anodin;;Tony;Assistant;Kaminsky;Mathew;
557;L’étudiant du rayon paléontologie;Nicholas Thomas;['707'];Anodin;;paléontologie;L’étudiant du rayon;Thomas;Nicholas;
558;Cliente du Central Perk;Stephanie Dicker;['722'];Anodin;;Perk;Cliente du Central;Dicker;Stephanie;
559;Professeur Klarik;Robert Alan Bluth;['924'];Anodin;;Klarik;Professeur;Bluth;Robert Alan;
560;Carl;Peter de Louise;['221'];Anodin;06/11/1966;Carl;Professeur;Louise;Peter de;
561;Pompier Ed;Joel Gretsch;['114'];Anodin;20/12/1963;Ed;Pompier;Gretsch;Joel;
562;Passante fumeuse;Nicole Robinson;['516'];Anodin;12/04/1972;fumeuse;Passante;Robinson;Nicole;
563;Employée de la compagnie aérienne;Kerrie Klark;['124'];Anodin;;aérienne;Employée de la compagnie;Klark;Kerrie;
564;Mrs Nancy Oberblau;Alison Shanks;['924'];Anodin;13/12/1982;Oberblau;Mrs Nancy;Shanks;Alison;
565;Homme dans le coma;David Sederholm;['111'];Anodin;;coma;Homme dans le;Sederholm;David;
566;Invité à la fête de Monica;Lewis Dix;['222'];Anodin;;Monica;Invité à la fête de;Dix;Lewis;
567;Employée du casino;Gabi Simson;['524'];Anodin;;casino;Employée du;Simson;Gabi;
568;Client du restaurant au téléphone;Barry Diamond;['207'];Anodin;14/11/1951;téléphone;Client du restaurant au;Diamond;Barry;
569;Stephanie;Alex Kapp Horner;['602'];Anodin;05/12/1969;Stephanie;Client du restaurant au;Horner;Alex Kapp;
570;Ellen;Jane Lynch;['1015'];Anodin;14/07/1960;Ellen;Client du restaurant au;Lynch;Jane;
571;Femme à la table;Joanna Sayler;['612'];Anodin;;table;Femme à la;Sayler;Joanna;
572;Infirmière Kitty;Cleo King;['901'];Anodin;21/08/1962;Kitty;Infirmière;King;Cleo;
573;Marge;Wendee Cole;['713'];Anodin;;Marge;Infirmière;Cole;Wendee;
574;Invitée à la fête de Monica;Nancy Rubin;['222'];Anodin;05/05/1905;Monica;Invitée à la fête de;Rubin;Nancy;
575;Pompier Charlie;Jay Acovone;['114'];Anodin;20/08/1955;Charlie;Pompier;Acovone;Jay;
576;Pompier Dave;Larry Pindexter;['114'];Anodin;;Dave;Pompier;Pindexter;Larry;
577;Arbitre de combat ultime;John McCarthy;['324'];Anodin;04/09/1927;ultime;Arbitre de combat;McCarthy;John;
578;Jester;Simon Harvey;['307'];Anodin;;Jester;Arbitre de combat;Harvey;Simon;
579;Serveur dans un restaurant;Dan Bucatinsky;['905'];Anodin;22/09/1965;restaurant;Serveur dans un;Bucatinsky;Dan;
580;Infirmière qui s’occupe de Nana;Marylin Tokuda;['108'];Anodin;;Nana;Infirmière qui s’occupe de;Tokuda;Marylin;
581;Sarah;Tori McPetrie;['624'];Anodin;03/11/1998;Sarah;Infirmière qui s’occupe de;McPetrie;Tori;
582;Mr Adelman;Phil Leeds;['211'];Anodin;06/04/1916;Adelman;Mr;Leeds;Phil;
583;Gynécologue de Phoebe;Shirley Jordan;['417'];Anodin;;Phoebe;Gynécologue de;Jordan;Shirley;
584;Vendeur dans un magasin de canapés;Mark Fite;['516'];Anodin;;canapés;Vendeur dans un magasin de;Fite;Mark;
585;Arthur;Nicky Katt;['221'];Anodin;11/05/1970;Arthur;Vendeur dans un magasin de;Katt;Nicky;
586;Charla Nichols;Kyla Pratta;['310'];Anodin;16/09/1986;Nichols;Charla;Pratta;Kyla;
587;JC Rosten;Patty Tiffany;['116'];Anodin;08/04/1968;Rosten;JC;Tiffany;Patty;
588;Voleur;Marc Unger;['402'];Anodin;;Voleur;JC;Unger;Marc;
589;Infirmière à l’hôpital;Hira Ambrosino;['1013'];Anodin;;l’hôpital;Infirmière à;Ambrosino;Hira;
590;Tank Abbott;Tank Abbott;['324'];Anodin;26/04/1965;Abbott;Tank;Abbott;Tank;
591;Lisa;Jacqueline Schultz;['624'];Anodin;;Lisa;Tank;Schultz;Jacqueline;
592;Le garçon dans la bibliothèque;Andy Breuster;['707'];Anodin;01/07/1962;bibliothèque;Le garçon dans la;Breuster;Andy;
593;Manny;Jonathan Slavin;['917'];Anodin;08/11/1969;Manny;Le garçon dans la;Slavin;Jonathan;
594;Responsable de la bibliothèque universitaire;Michael D. Roberts;['707'];Anodin;25/12/1947;universitaire;Responsable de la bibliothèque;Roberts;Michael D.;
595;Professeur de Lamaze;Michele Lamar Richards;['116'];Anodin;10/11/1954;Lamaze;Professeur de;Richards;Michele Lamar;
596;Employée d’accueil de l’hôtel;Anita Dashiell;['803'];Anodin;;l’hôtel;Employée d’accueil de;Dashiell;Anita;
597;Krista;Julie Lauren;['510'];Anodin;;Krista;Employée d’accueil de;Lauren;Julie;
598;Voisin de Ross à la recherche de Joey;Marc Goldsmith;['517'];Anodin;17/02/1910;Joey;Voisin de Ross à la recherche de;Goldsmith;Marc;
599;Bénévole du Téléthon sur PBS;John R. McLaughlin;['504'];Anodin;03/04/1956;PBS;Bénévole du Téléthon sur;McLaughlin;John R.;
600;Gamin surdoué;Miles Marisco;['411'];Anodin;;surdoué;Gamin;Marisco;Miles;
601;Responsable de l’hôpital;Ethel Ayler;['319'];Anodin;01/05/1930;l’hôpital;Responsable de;Ayler;Ethel;
602;Mrs Verhoeven;Dale Raoul;['807'];Anodin;16/08/1956;Verhoeven;Mrs;Raoul;Dale;
603;Bratty Boy;Benjamain Caya;['104'];Anodin;28/03/1970;Boy;Bratty;Caya;Benjamain;
604;Officier Petty;Chuck Martinez;['722'];Anodin;28/01/2016;Petty;Officier;Martinez;Chuck;
605;Assistant réalisateur dans un film où joue Joey;Carlos LaCamera;['414'];Anodin;11/11/1958;Joey;Assistant réalisateur dans un film où joue;LaCamera;Carlos;
606;Hoshi;James Hong;['324'];Anodin;22/02/1929;Hoshi;Assistant réalisateur dans un film où joue;Hong;James;
607;Passagère dans l’avion;Michelle Pereira;['1018'];Anodin;;l’avion;Passagère dans;Pereira;Michelle;
608;Karen Lambert;Hope Allen;['404'];Anodin;;Lambert;Karen;Allen;Hope;
609;Employé de la compagnie aérienne;John O Brien;['803'];Anodin;;aérienne;Employé de la compagnie;Brien;John O;
610;Hôtesse de l’air sur le vol pour Paris;non créditée;['1018'];Anodin;;Paris;Hôtesse de l’air sur le vol pour;créditée;non;
611;Passager nerveux dans l’avion;Jim Rash;['1018'];Anodin;15/07/1971;l’avion;Passager nerveux dans;Rash;Jim;
612;Ronni;Lee Carlington;['113'];Anodin;20/07/1953;Ronni;Passager nerveux dans;Carlington;Lee;
613;Raymond;Matt Weinberg;['518'];Anodin;13/07/1990;Raymond;Passager nerveux dans;Weinberg;Matt;
614;Réalisateur de films;Tim Edward Rhoze;['1013'];Anodin;;films;Réalisateur de;Rhoze;Tim Edward;
615;Owen;Daryl Sabara;['1002'];Anodin;14/06/1992;Owen;Réalisateur de;Sabara;Daryl;
616;Client critique du restaurant Javu;Johnny Sneed;['919'];Anodin;;Javu;Client critique du restaurant;Sneed;Johnny;
617;Peter;Ken Weiler;['402'];Anodin;;Peter;Client critique du restaurant;Weiler;Ken;
618;Gardien au service comptabilité;Christopher Caroll;['404'];Anodin;;comptabilité;Gardien au service;Caroll;Christopher;
619;Présentatrice de la cérémonie des Soapies;Mc Kenzie Westmore;['718'];Anodin;26/04/1977;Soapies;Présentatrice de la cérémonie des;Westmore;Mc Kenzie;
620;Catherine;Kat Sawyer;['818'];Anodin;;Catherine;Présentatrice de la cérémonie des;Sawyer;Kat;
621;Barman;Kevin Brief;['909'];Anodin;;Barman;Présentatrice de la cérémonie des;Brief;Kevin;
622;Petit ami de Mona;Mark Lutz;['817'];Anodin;;Mona;Petit ami de;Lutz;Mark;
623;L’homme;Tim Silva;['818'];Anodin;05/03/1976;L’homme;Petit ami de;Silva;Tim;
624;Chef de meute des Jeannettes;Romy Rosemont;['310'];Anodin;28/10/1964;Jeannettes;Chef de meute des;Rosemont;Romy;
625;Employée de l’aéroport;Lynn A Henderson;['803'];Anodin;;l’aéroport;Employée de;Henderson;Lynn A;
626;Commentateur du combat ultime;Bruce Buffer;['324'];Anodin;21/05/1957;ultime;Commentateur du combat;Buffer;Bruce;
627;Officier Handson;Mark Consuelos;['722'];Anodin;30/03/1971;Handson;Officier;Consuelos;Mark;
628;Samantha;Angela Wiser;['119'];Anodin;18/10/1966;Samantha;Officier;Wiser;Angela;
629;Homme en lune de miel;Shane Nickerson;['803'];Anodin;;miel;Homme en lune de;Nickerson;Shane;
630;Sally;Elaine Hendrix;['903'];Anodin;28/12/1970;Sally;Homme en lune de;Hendrix;Elaine;
631;Dr Gettlman;Gregory White;['903'];Anodin;;Gettlman;Dr;White;Gregory;
632;Pompier #1;Greg Wrangler;['618'];Anodin;;#1;Pompier;Wrangler;Greg;
633;Tabitha;Carly Thomas;['912'];Anodin;;Tabitha;Pompier;Thomas;Carly;
634;Maria;Amber Smith;['404'];Anodin;02/03/1971;Maria;Pompier;Smith;Amber;
635;Rick;Bill Stevenson;['601'];Anodin;;Rick;Pompier;Stevenson;Bill;
636;Employé de la salle de sport;Brain Perry;['404'];Anodin;19/08/1969;sport;Employé de la salle de;Perry;Brain;
637;Premier mec du dortoir;Amil Raman;['624'];Anodin;;dortoir;Premier mec du;Raman;Amil;
638;Représentant de la compagnie aérienne;Brian Palermo;['1018'];Anodin;;aérienne;Représentant de la compagnie;Palermo;Brian;
639;Pompier chez Phoebe;Jason Winston George;['712'];Anodin;09/02/1972;Phoebe;Pompier chez;George;Jason Winston;
640;Homme dans le taxi;Jason Kravits;['1018'];Anodin;28/05/1967;taxi;Homme dans le;Kravits;Jason;
641;Gene Lester;Gregory Jbara;['1011'];Anodin;28/09/1961;Lester;Gene;Jbara;Gregory;
642;Réceptionniste au cabinet du Dr Gettlman;Greta Seshita;['903'];Anodin;06/09/2018;Gettlman;Réceptionniste au cabinet du Dr;Seshita;Greta;
643;Passager dans l’avion;Todd Glass;['523'];Anodin;16/12/1964;l’avion;Passager dans;Glass;Todd;
644;Kyle;Jim Wise;['518'];Anodin;30/07/1964;Kyle;Passager dans;Wise;Jim;
645;Hôtesse compagnie aérienne;Robin McDonald;['415'];Anodin;;aérienne;Hôtesse compagnie;McDonald;Robin;
646;Sherman Whitfield;Peter Dennis;['302'];Anodin;25/10/1933;Whitfield;Sherman;Dennis;Peter;
647;Directrice de casting pour une publicité;Judy Kain;['518'];Anodin;;publicité;Directrice de casting pour une;Kain;Judy;
648;Devon;Adamo Palladino;['415'];Anodin;;Devon;Directrice de casting pour une;Palladino;Adamo;
649;Joueur saoul au casino;Frank Novak;['524'];Anodin;04/03/1945;casino;Joueur saoul au;Novak;Frank;
650;Pompier #2;David Warshofsky;['618'];Anodin;23/02/1961;#2;Pompier;Warshofsky;David;
651;Homme à la cigarette;Rocky McMurray;['414'];Anodin;;cigarette;Homme à la;McMurray;Rocky;
652;Sizemore;Mary Pat Gleason;['104'];Anodin;23/02/1950;Sizemore;Homme à la;Gleason;Mary Pat;
653;Agent de sécurité au Caesar’s Palace;Rojai Holloway;['524'];Anodin;;Palace;Agent de sécurité au Caesar’s;Holloway;Rojai;
654;Kevin;Alan F. Smith;['909'];Anodin;;Kevin;Agent de sécurité au Caesar’s;Smith;Alan F.;
655;Homme;Richard Lyons;['202'];Anodin;;Homme;Agent de sécurité au Caesar’s;Lyons;Richard;
656;Tom;Doug Benson;['507'];Anodin;02/07/1962;Tom;Agent de sécurité au Caesar’s;Benson;Doug;
657;Professeur de claquettes;Karla Tamburrelli;['121'];Anodin;;claquettes;Professeur de;Tamburrelli;Karla;
658;Serveur dans un restaurant;John Eric Bentley;['914'];Anodin;;restaurant;Serveur dans un;Bentley;John Eric;
659;Vieille femme;Jeannette Miller;['524'];Anodin;30/07/1932;femme;Vieille;Miller;Jeannette;
660;Liam;Mark Thomas;['415'];Anodin;03/05/1960;Liam;Vieille;Thomas;Mark;
661;Responsable du plateau de télévision;Sandra Thigpen;['504'];Anodin;;télévision;Responsable du plateau de;Thigpen;Sandra;
662;Zoe;Natasha Pearce;['624'];Anodin;;Zoe;Responsable du plateau de;Pearce;Natasha;
663;Dr Schiff;Shawn Christian;['811'];Anodin;18/12/1965;Schiff;Dr;Christian;Shawn;
664;Premier client du matin du grand magasin;Lou Willis;['202'];Anodin;17/02/1962;magasin;Premier client du matin du grand;Willis;Lou;
665;Responsable;Stan Sellers;['202'];Anodin;;Responsable;Premier client du matin du grand;Sellers;Stan;
666;Docteur des urgences;Richard Penn;['814'];Anodin;;urgences;Docteur des;Penn;Richard;
667;Mr Tyler;Tucker Smallwood;['821'];Anodin;22/02/1944;Tyler;Mr;Smallwood;Tucker;
668;Réceptionniste de l’hôtel dans le Vermont;non créditée;['919'];Anodin;;Vermont;Réceptionniste de l’hôtel dans le;créditée;non;
669;Dr Connelly;Andy Umberger;['922'];Anodin;;Connelly;Dr;Umberger;Andy;
670;La femme;Aixa Clemente;['818'];Anodin;;femme;La;Clemente;Aixa;
671;Touriste cliente du Caesar’s Palace;Baillie Gernstein;['523'];Anodin;;Palace;Touriste cliente du Caesar’s;Gernstein;Baillie;
672;Serrurier appelé par Ross;Wesley Thompson;['811'];Anodin;;Ross;Serrurier appelé par;Thompson;Wesley;
673;Bill;Chris Payne Gilbert;['909'];Anodin;;Bill;Serrurier appelé par;Gilbert;Chris Payne;
674;Invitée du mariage;Lela Lee;['711'];Anodin;;mariage;Invitée du;Lee;Lela;
675;Maître d’hôtel d’un grand restaurant;Tony Nichols;['624'];Anodin;16/10/1902;restaurant;Maître d’hôtel d’un grand;Nichols;Tony;
676;Serveur au restaurant Iridium;Mailon Riviera;['711'];Anodin;;Iridium;Serveur au restaurant;Riviera;Mailon;
677;Serveur au PhilloSophie;Spencer Cherashore;['205'];Anodin;;PhilloSophie;Serveur au;Cherashore;Spencer;
678;Mr Bowmont;John Apicella;['624'];Anodin;;Bowmont;Mr;Apicella;John;
679;Patrick;Chris Kennedy;['619'];Anodin;29/03/1955;Patrick;Mr;Kennedy;Chris;
680;Seconde invitée du mariage;Gina Belafonte;['711'];Anodin;;mariage;Seconde invitée du;Belafonte;Gina;
681;Cliente d’une boutique de prêt à porter;Tracy Silver;['922'];Anodin;;porter;Cliente d’une boutique de prêt à;Silver;Tracy;
682;Henrietta;Cyndi Martino;['1011'];Anodin;;Henrietta;Cliente d’une boutique de prêt à;Martino;Cyndi;
683;Fillette dans le cabinet du docteur;Ashley Holloway;['903'];Anodin;;docteur;Fillette dans le cabinet du;Holloway;Ashley;
684;Assistante du Dr Gettlman;Angee Hughes;['903'];Anodin;22/11/1955;Gettlman;Assistante du Dr;Hughes;Angee;
685;Masseuse de Monica;non créditée;['814'];Anodin;;Monica;Masseuse de;créditée;non;
686;Hôtesse dans l’avion;Lisa Jamie Cash;['523'];Anodin;;l’avion;Hôtesse dans;Cash;Lisa Jamie;
687;Critique culinaire du Post;Tim Maculan;['821'];Anodin;20/04/1963;Post;Critique culinaire du;Maculan;Tim;
688;Serveur dans un restaurant chic;Martin Yu;['808'];Anodin;;chic;Serveur dans un restaurant;Yu;Martin;
689;Infirmière du service des tests de fertilité;Myra Turbey;['921'];Anodin;;fertilité;Infirmière du service des tests de;Turbey;Myra;
690;Concierge de l’hôtel;Christopher Liam Moore;['505'];Anodin;;l’hôtel;Concierge de;Moore;Christopher Liam;
691;Client du restaurant Javu;Keith Pillow;['919'];Anodin;;Javu;Client du restaurant;Pillow;Keith;
692;Directeur du Caesar’s Palace;James Paradise;['523'];Anodin;;Palace;Directeur du Caesar’s;Paradise;James;
693;Patronne du salon de massage;Cherryl Francis Harrington;['404'];Anodin;;massage;Patronne du salon de;Harrington;Cherryl Francis;
694;Invité à la fête pour Howard;Stephon Fuller;['515'];Anodin;;Howard;Invité à la fête pour;Fuller;Stephon;
695;Client du restaurant Javu;Shayne Anderson;['919'];Anodin;;Javu;Client du restaurant;Anderson;Shayne;
696;Steve;Willie Garson;['515'];Anodin;20/02/1964;Steve;Client du restaurant;Garson;Willie;
697;Professeur d’art dramatique;Scott Richards;['821'];Anodin;;dramatique;Professeur d’art;Richards;Scott;
698;Steven Fischer;Chris Young;['205'];Anodin;28/04/1971;Fischer;Steven;Young;Chris;
699;Réceptionniste de l’association de soutien aux enfants;Matt Winston;['1007'];Anodin;;enfants;Réceptionniste de l’association de soutien aux;Winston;Matt;
700;Invitée à la fête pour Howard;Linde Gibb;['515'];Anodin;12/09/1940;Howard;Invitée à la fête pour;Gibb;Linde;
701;Petit garçon dans le cabinet du docteur;Logan Hudson;['903'];Anodin;17/10/1965;docteur;Petit garçon dans le cabinet du;Hudson;Logan;
702;Installateur de protections enfant d’appartement;Timothy Starks;['916'];Anodin;;d’appartement;Installateur de protections enfant;Starks;Timothy;
703;Employé de l’agence d’adoption;Jim O’Heir;['1009'];Anodin;04/02/1962;d’adoption;Employé de l’agence;O’Heir;Jim;
704;Serveur au restaurant;Jorge Luis Abreu;['1009'];Anodin;;restaurant;Serveur au;Abreu;Jorge Luis;
705;Ray;Jonathan Nichols;['820'];Anodin;;Ray;Serveur au;Nichols;Jonathan;
706;Serveuse au Central Perk;Michelle Haurg;['722'];Anodin;21/12/1966;Perk;Serveuse au Central;Haurg;Michelle;
707;Livreur de Pizza;Ryan Carlberg;['1011'];Anodin;;Pizza;Livreur de;Carlberg;Ryan;
708;Glenda;Iris Bahr;['1003'];Anodin;;Glenda;Livreur de;Bahr;Iris;
709;Invité à la fête pour Howard;David Dalton;['515'];Anodin;30/06/1985;Howard;Invité à la fête pour;Dalton;David;
710;Homme du salon de bronzage;Luis Antonio Ramos;['1003'];Anodin;;bronzage;Homme du salon de;Ramos;Luis Antonio;
711;La femme qui accouche;Laura Margolis;['823'];Anodin;;accouche;La femme qui;Margolis;Laura;
712;Autre passager dans l’avion;Vincent Boyle;['1018'];Anodin;02/12/1970;l’avion;Autre passager dans;Boyle;Vincent;
